Individual;rdf:type;sosa:hasFeatureOfInterest;sosa:madeBySensor;sosa:observedProperty;qudt:numericValue;qudt:hasUnit
FuelTank01MeanValue;ship:AggregatedObservation;FuelLevel;FuelTank01Sensor;Volume;1588.43;L
FuelTank02MeanValue;ship:AggregatedObservation;FuelLevel;FuelTank02Sensor;Volume;1554.58;L
FuelTank05MeanValue;ship:AggregatedObservation;FuelLevel;FuelTank05Sensor;Volume;1394.34;L
FuelTank06MeanValue;ship:AggregatedObservation;FuelLevel;FuelTank06Sensor;Volume;1431.14;L
FuelTank07MeanValue;ship:AggregatedObservation;FuelLevel;FuelTank07Sensor;Volume;2150.1;L
FuelTank08MeanValue;ship:AggregatedObservation;FuelLevel;FuelTank08Sensor;Volume;2073.14;L
FuelTank15MeanValue;ship:AggregatedObservation;FuelLevel;FuelTank15Sensor;Volume;1982.74;L
FreshwaterTank14MeanValue;ship:AggregatedObservation;FreshwaterLevel;FreshwaterTank14Sensor;Volume;208.18;L
BilgeWaterTank12MeanValue;ship:AggregatedObservation;BilgeWaterLevel;BilgeWaterTank12Sensor;Volume;4345.91;L
ShoreConnectionActivePowerMeanValue;ship:AggregatedObservation;ShoreConnectionActivePower;ShoreConnectionActivePowerSensor;Power;;KiloW
ShoreConnectionConsumptionMeanValue;ship:AggregatedObservation;ShoreConnectionEnergyConsumption;ShoreConnectionConsumptionSensor;Consumption;;KiloW-HR
ShoreConnectionL1CurrentMeanValue;ship:AggregatedObservation;ShoreConnectionCurrent;ShoreConnectionCurrentL1Sensor;Current;;A
ShoreConnectionL2CurrentMeanValue;ship:AggregatedObservation;ShoreConnectionCurrent;ShoreConnectionCurrentL2Sensor;Current;;A
ShoreConnectionL3CurrentMeanValue;ship:AggregatedObservation;ShoreConnectionCurrent;ShoreConnectionCurrentL2Sensor;Current;;A
ShoreConnectionFrequencyMeanValue;ship:AggregatedObservation;ShoreConnectionFrequency;ShoreConnectionFrequencySensor;Frequency;;HZ
ShoreConnectionVoltageMeanValue;ship:AggregatedObservation;ShoreConnectionVoltage;ShoreConnectionVoltageSensor;Voltage;;V
InclinationMeanValue;ship:AggregatedObservation;InclinationAngle;InclinationSensor;Angle;;DEG
FirePumpPressureMeanValue;ship:AggregatedObservation;PumpPressure;FirePumpPressureSensor;Pressure;;BAR
StarboardGearBoxLubOilTemperatureMeanValue;ship:AggregatedObservation;LubricationOilTemperature;StarboardGearBoxLubOilTemperatureSensor;Temperature;;DEG_C
PortGearBoxLubOilTemperatureMeanValue;ship:AggregatedObservation;LubricationOilTemperature;PortGearBoxLubOilTemperatureSensor;Temperature;;DEG_C
StarboardFanRotationSpeedMeanValue;ship:AggregatedObservation;FanRotationSpeed;StarboardFanRotationSpeedSensor;RotationSpeed;;REV-PER-MIN
PortFanRotationSpeedMeanValue;ship:AggregatedObservation;FanRotationSpeed;PortFanRotationSpeedSensor;RotationSpeed;;PERCENT
BridgeBatteryVoltageMeanValue;ship:AggregatedObservation;BatteryVoltage;BridgeBatteryVoltageSensor;Voltage;;V
BridgeBatteryCurrentMeanValue;ship:AggregatedObservation;BatteryCurrent;BridgeBatteryCurrentSensor;Current;;A
AutomationBatteryVoltageMeanValue;ship:AggregatedObservation;BatteryVoltage;AutomationBatteryVoltageSensor;Voltage;;V
AutomationBatteryCurrentMeanValue;ship:AggregatedObservation;BatteryCurrent;AutomationBatteryCurrentSensor;Current;;A
SmallAuxDieselEngineCoolWaterTemperatureMeanValue;ship:AggregatedObservation;CoolantTemperature;SmallAuxDieselEngineCoolWaterTemperatureSensor;Temperature;;DEG_C
SmallAuxDieselEngineL1CurrentMeanValue;ship:AggregatedObservation;EngineCurrent;SmallAuxDieselEngineCurrentL1Sensor;Current;;A
SmallAuxDieselEngineL2CurrentMeanValue;ship:AggregatedObservation;EngineCurrent;SmallAuxDieselEngineCurrentL2Sensor;Current;;A
SmallAuxDieselEngineL3CurrentMeanValue;ship:AggregatedObservation;EngineCurrent;SmallAuxDieselEngineCurrentL3Sensor;Current;;A
SmallAuxDieselEngineFrequencyMeanValue;ship:AggregatedObservation;EngineFrequency;SmallAuxDieselEngineFrequencySensor;Frequency;;HZ
SmallAuxDieselEngineLoadMeanValue;ship:AggregatedObservation;EngineLoad;SmallAuxDieselEngineLoadSensor;Load;;PERCENT
