Individual;rdf:type;sosa:hosts;geo:location
FuelTank01;ship:Device;FuelTank01Sensor;Deck
FuelTank02;ship:Device;FuelTank02Sensor;Deck
FuelTank05;ship:Device;FuelTank05Sensor;Deck
FuelTank06;ship:Device;FuelTank06Sensor;Deck
FuelTank07;ship:Device;FuelTank07Sensor;Deck
FuelTank08;ship:Device;FuelTank08Sensor;Deck
FuelTank15;ship:Device;FuelTank15Sensor;Deck
FreshwaterTank14;ship:Device;FreshwaterTank14Sensor;
BilgeWaterTank12;ship:Device;BilgeWaterTank12Sensor;
Gyroscope;ship:Device;InclinationSensor;
KFWAPump;ship:Device;KFWAPumpPowerIndicatorSensor;
FirePump;ship:Device;FirePumpPressureSensor;
StarboardGearBox;ship:Device;StarboardGearBoxLubOilTemperatureSensor;EngineRoom
PortGearBox;ship:Device;PortGearBoxLubOilTemperatureSensor;EngineRoom
StarboardFan;ship:Device;StarboardFanRotationSpeedSensor;EngineRoom
PortFan;ship:Device;PortFanRotationSpeedSensor;EngineRoom
BridgeBattery;ship:Device;BridgeBatteryVoltageSensor, BridgeBatteryCurrentSensor;Bridge
AutomationBattery;ship:Device;AutomationBatteryVoltageSensor, AutomationBatteryCurrentSensor;
SmallAuxDieselEngine;ship:Device;SmallAuxDieselEngineAutomaticModeSensor, SmallAuxDieselEngineCoolWaterTemperatureSensor, SmallAuxDieselEngineCurrentL1Sensor, SmallAuxDieselEngineCurrentL2Sensor, SmallAuxDieselEngineCurrentL3Sensor, SmallAuxDieselEngineFrequencySensor, SmallAuxDieselEngineGSLSensor, SmallAuxDieselEngineLoadSensor, SmallAuxDieselEngineLubOilPressureSensor, SmallAuxDieselEnginePowerSensor, SmallAuxDieselEngineVoltageSensor;
LargeAuxDieselEngine;ship:Device;LargeAuxDieselEngineLoadSensor, LargeAuxDieselEnginePowerSensor, LargeAuxDieselEngineVoltageSensor, LargeAuxDieselEngineHydraulicActiveSensor, LargeAuxDieselEngineGSLSensor, LargeAuxDieselEngineFrequencySensor, LargeAuxDieselEngineAutomaticModeSensor, LargeAuxDieselEngineCurrentL1Sensor, LargeAuxDieselEngineCurrentL2Sensor, LargeAuxDieselEngineCurrentL3Sensor;
StarboardEngineAlternato;ship:Device;StarboardEngineAlternatorCurrentSensor;EngineRoom
PortEngineAlternator;ship:Device;PortEngineAlternatorCurrentSensor;EngineRoom
WastewaterTank;ship:Device;Wastewater25PercentSensor, Wastewater50PercentSensor, Wastewater75PercentSensor, Wastewater90PercentSensor;Deck
