Individual;rdf:type;sosa:hosts;geo:location
StarboardCrankshaft;ship:EngineComp;StarboardEngineSpeedSensor;EngineRoom
PortCrankshaft;ship:EngineComp;PortEngineSpeedSensor;EngineRoom
StarboardOilSump;ship:EngineComp;StarboardEngineOilLevelSensor;EngineRoom
PortOilSump;ship:EngineComp;PortEngineOilLevelSensor;EngineRoom
StarboardEngineBlock;ship:EngineComp;StarboardEnginePressureSensor;EngineRoom
PortEngineBlock;ship:EngineComp;PortEnginePressureSensor;EngineRoom
StarboardFuelInjector;ship:EngineComp;StarboardEngineFuelTemperatureSensor;EngineRoom
PortFuelInjector;ship:EngineComp;PortEngineFuelTemperatureSensor;EngineRoom
StarboardElectricalSystem;ship:EngineComp;StarboardElecticalPotentialSensor;EngineRoom
PortElectricalSystem;ship:EngineComp;PortElecticalPotentialSensor;EngineRoom
StarboardAlternator;ship:EngineComp;StarboardAlternatorCurrentSensor;EngineRoom
PortAlternator;ship:EngineComp;PortAlternatorCurrentSensor;EngineRoom
StarboardClutch;ship:EngineComp;StarboardClutchPressureSensor;EngineRoom
PortClutch;ship:EngineComp;PortClutchPressureSensor;EngineRoom
StarboardAirInlet;ship:EngineComp;StarboardEngineAirInletPressureSensor;EngineRoom
PortAirInlet;ship:EngineComp;PortEngineAirInletPressureSensor;EngineRoom
StarboardECU;ship:EngineComp;StarboardEngineECUTemperatureSensor;EngineRoom
PortECU;ship:EngineComp;PortEngineECUTemperatureSensor;EngineRoom
SatrboardExhaust;ship:EngineComp;SatrboardEngineExhaustGasTemperatureSensor;EngineRoom
PortExhaust;ship:EngineComp;PortEngineExhaustGasTemperatureSensor;EngineRoom
StarboardOilSystem;ship:EngineComp;StarboardEngineOilTemperature1Sensor ;EngineRoom
PortOilSystem;ship:EngineComp;PortEngineOilTemperature1Sensor;EngineRoom
StarboardCoolingSystem;ship:EngineComp;StarboardEngineCoolantTemperatureSensor, StarboardCoolantPressureSensor;EngineRoom
PortCoolingSystem;ship:EngineComp;PortEngineCoolantTemperatureSensor, PortEngineCoolantPressureSensor;EngineRoom
