Individual;rdf:type;ship:hasSensorProperty;ssn:detects;sosa:isHostedBy;sosa:madeObservation;sosa:observes
FuelTank01Sensor;ship:GeneralSensor;FuelTank01AlarmThresholdRange;HydrostaticPressure;FuelTank01;FuelTank01MeanValue;Volume
FuelTank02Sensor;ship:GeneralSensor;FuelTank02AlarmThresholdRange;HydrostaticPressure;FuelTank02;FuelTank02MeanValue;Volume
FuelTank05Sensor;ship:GeneralSensor;FuelTank05AlarmThresholdRange;HydrostaticPressure;FuelTank05;FuelTank05MeanValue;Volume
FuelTank06Sensor;ship:GeneralSensor;FuelTank06AlarmThresholdRange;HydrostaticPressure;FuelTank06;FuelTank06MeanValue;Volume
FuelTank07Sensor;ship:GeneralSensor;FuelTank07AlarmThresholdRange;HydrostaticPressure;FuelTank07;FuelTank07MeanValue;Volume
FuelTank08Sensor;ship:GeneralSensor;FuelTank08AlarmThresholdRange;HydrostaticPressure;FuelTank08;FuelTank08MeanValue;Volume
FuelTank15Sensor;ship:GeneralSensor;FuelTank15AlarmThresholdRange;HydrostaticPressure;FuelTank15;FuelTank15MeanValue;Volume
FreshwaterTank14Sensor;ship:GeneralSensor;FreshwaterTank14AlarmThresholdRange;HydrostaticPressure;FreshwaterTank14;FreshwaterTank14MeanValue;Volume
BilgeWaterTank12Sensor;ship:GeneralSensor;BilgeWaterTank12AlarmThresholdRange;HydrostaticPressure;BilgeWaterTank12;BilgeWaterTank12MeanValue;Volume
ShoreConnectionActivePowerSensor;ship:GeneralSensor;;;ShoreConnectionStructure;ShoreConnectionActivePowerMeanValue;Power
ShoreConnectionConsumptionSensor;ship:GeneralSensor;;;ShoreConnectionStructure;ShoreConnectionConsumptionMeanValue;Consumption
ShoreConnectionCurrentL1Sensor;ship:GeneralSensor;;;ShoreConnectionStructure;ShoreConnectionL1CurrentMeanValue;Current
ShoreConnectionCurrentL2Sensor;ship:GeneralSensor;;;ShoreConnectionStructure;ShoreConnectionL2CurrentMeanValue;Current
ShoreConnectionCurrentL2Sensor;ship:GeneralSensor;;;ShoreConnectionStructure;ShoreConnectionL3CurrentMeanValue;Current
ShoreConnectionFrequencySensor;ship:GeneralSensor;;;ShoreConnectionStructure;ShoreConnectionFrequencyMeanValue;Frequency
ShoreConnectionOnSensor;ship:GeneralSensor;;;ShoreConnectionStructure;;ConnectionState
ShoreConnectionVoltageSensor;ship:GeneralSensor;;;ShoreConnectionStructure;ShoreConnectionVoltageMeanValue;Voltage
InclinationSensor;ship:GeneralSensor;InclinationAlarmThresholdRange, InclinationNormValueRange;;Gyroscope;InclinationMeanValue;Angle
KFWAPumpPowerIndicatorSensor;ship:GeneralSensor;;;KFWAPump;;PowerState
FirePumpPressureSensor;ship:GeneralSensor;;;FirePump;FirePumpPressureMeanValue;Pressure
StarboardGearBoxLubOilTemperatureSensor;ship:GeneralSensor;;;StarboardGearBox;StarboardGearBoxLubOilTemperatureMeanValue;Temperature
PortGearBoxLubOilTemperatureSensor;ship:GeneralSensor;;;PortGearBox;PortGearBoxLubOilTemperatureMeanValue;Temperature
StarboardFanRotationSpeedSensor;ship:GeneralSensor;;;StarboardFan;StarboardFanRotationSpeedMeanValue;RotationSpeed
PortFanRotationSpeedSensor;ship:GeneralSensor;;;PortFan;PortFanRotationSpeedMeanValue;RotationSpeed
