time,value
 00:01:42.428440,1492
 00:01:43.461340,1491
 00:01:44.478740,1490
 00:01:45.413780,1491
 00:01:46.446860,1490
 00:01:47.456880,1490
 00:01:48.461720,1491
 00:01:49.456400,1489
 00:01:50.446870,1488
 00:01:51.451140,1492
 00:01:52.423170,1491
 00:01:53.469210,1487
 00:01:54.404500,1489
 00:01:55.407080,1492
 00:01:56.461020,1492
 00:01:57.435570,1492
 00:01:58.419990,1489
 00:01:59.434940,1486
 00:02:00.422550,1490
 00:02:01.432480,1491
 00:02:02.443380,1485
 00:02:03.454680,1486
 00:02:04.406800,1488
 00:02:05.404630,1487
 00:02:06.445570,1488
 00:02:07.402540,1489
 00:02:08.400500,1489
 00:02:09.397510,1489
 00:02:10.402480,1490
 00:02:11.427380,1491
 00:02:12.433060,1489
 00:02:13.378490,1491
 00:02:14.394900,1493
 00:02:15.395510,1492
 00:02:16.405270,1489
 00:02:17.401340,1490
 00:02:18.437330,1492
 00:02:19.375200,1492
 00:02:20.368180,1492
 00:02:21.371910,1492
 00:02:22.379760,1495
 00:02:23.372680,1493
 00:02:24.370890,1489
 00:02:25.361670,1491
 00:02:26.410580,1493
 00:02:27.397610,1494
 00:02:28.408540,1492
 00:02:29.413570,1491
 00:02:30.423560,1491
 00:02:31.397570,1487
 00:02:32.461790,1488
 00:02:33.400410,1493
 00:02:34.463240,1490
 00:02:35.404780,1490
 00:02:36.415850,1493
 00:02:37.418390,1488
 00:02:38.411950,1486
 00:02:39.426660,1491
 00:02:40.422920,1494
 00:02:41.427730,1491
 00:02:42.443180,1493
 00:02:43.373350,1493
 00:02:44.370880,1490
 00:02:45.325300,1489
 00:02:46.326440,1487
 00:02:47.316710,1491
 00:02:48.299030,1490
 00:02:49.281460,1490
 00:02:50.271800,1485
 00:02:51.261710,1485
 00:02:52.305390,1485
 00:02:53.273930,1486
 00:02:54.249880,1489
 00:02:55.302360,1490
 00:02:56.222050,1492
 00:02:57.209460,1494
 00:02:58.252420,1495
 00:02:59.201100,1495
 00:03:00.222290,1493
 00:03:01.213120,1493
 00:03:02.205520,1493
 00:03:03.206540,1495
 00:03:04.177870,1494
 00:03:05.201190,1493
 00:03:06.187620,1493
 00:03:07.197500,1496
 00:03:08.185510,1496
 00:03:09.182720,1491
 00:03:10.194280,1492
 00:03:11.194820,1496
 00:03:12.186590,1492
 00:03:13.197020,1495
 00:03:14.181350,1495
 00:03:15.170570,1495
 00:03:16.167780,1487
 00:03:17.169950,1488
 00:03:18.189780,1493
 00:03:19.157760,1492
 00:03:20.169780,1492
 00:03:21.166610,1496
 00:03:22.169840,1495
 00:03:23.207550,1494
 00:03:24.143660,1496
 00:03:25.142280,1493
 00:03:26.164940,1492
 00:03:27.172540,1494
 00:03:28.168100,1491
 00:03:29.149570,1491
 00:03:30.142130,1489
 00:03:31.139530,1491
 00:03:32.143420,1493
 00:03:33.126420,1496
 00:03:34.120730,1495
 00:03:35.153720,1494
 00:03:36.138780,1495
 00:03:37.133140,1493
